split_seed,stage,fold,fp_raw_dim,fp_kept_dim,retention_rate
4,cv,1.0,2048,136,0.06640625
4,cv,2.0,2048,149,0.07275390625
4,cv,3.0,2048,125,0.06103515625
4,cv,4.0,2048,136,0.06640625
4,cv,5.0,2048,128,0.0625
4,final_dev,,2048,137,0.06689453125
9,cv,1.0,2048,132,0.064453125
9,cv,2.0,2048,130,0.0634765625
9,cv,3.0,2048,131,0.06396484375
9,cv,4.0,2048,130,0.0634765625
9,cv,5.0,2048,126,0.0615234375
9,final_dev,,2048,129,0.06298828125
26,cv,1.0,2048,130,0.0634765625
26,cv,2.0,2048,147,0.07177734375
26,cv,3.0,2048,134,0.0654296875
26,cv,4.0,2048,129,0.06298828125
26,cv,5.0,2048,136,0.06640625
26,final_dev,,2048,133,0.06494140625
