model,metric,mean,std,mean_std
LR,accuracy,0.8592902647963827,0.0711548420765654,0.8593 ± 0.0712
LR,precision,0.8525563909774437,0.10389671637046508,0.8526 ± 0.1039
LR,recall,0.9197139543873213,0.07851071031960576,0.9197 ± 0.0785
LR,f1,0.8804527825093377,0.0702419685014433,0.8805 ± 0.0702
LR,mcc,0.6913949501283472,0.11383839182552578,0.6914 ± 0.1138
LR,roc_auc,0.9576543826406484,0.03864124175594655,0.9577 ± 0.0386
LR,pr_auc,0.9699414038485619,0.03291172903962044,0.9699 ± 0.0329
LR,ef1,1.6849079484905674,0.31216105874006805,1.6849 ± 0.3122
LR,ef5,1.6849079484905674,0.31216105874006805,1.6849 ± 0.3122
RFC,accuracy,0.9064629771415088,0.040909504504184555,0.9065 ± 0.0409
RFC,precision,0.9146159805984586,0.05636873342005239,0.9146 ± 0.0564
RFC,recall,0.9241423846951486,0.06458755026689132,0.9241 ± 0.0646
RFC,f1,0.9178712983364147,0.048061245292860544,0.9179 ± 0.0481
RFC,mcc,0.7808650118281732,0.08047962118607968,0.7809 ± 0.0805
RFC,roc_auc,0.9676998362851951,0.029636871910712577,0.9677 ± 0.0296
RFC,pr_auc,0.9767851057885448,0.02606211887068589,0.9768 ± 0.0261
RFC,ef1,1.6849079484905674,0.31216105874006805,1.6849 ± 0.3122
RFC,ef5,1.6849079484905674,0.31216105874006805,1.6849 ± 0.3122
SVC,accuracy,0.8951217482307584,0.04055120925100164,0.8951 ± 0.0406
SVC,precision,0.894368720048068,0.059236791976017424,0.8944 ± 0.0592
SVC,recall,0.9277961848313607,0.0699200925551729,0.9278 ± 0.0699
SVC,f1,0.9083105457381941,0.045074073320678344,0.9083 ± 0.0451
SVC,mcc,0.7654265191559599,0.049822158699967665,0.7654 ± 0.0498
SVC,roc_auc,0.9708592743624571,0.02694241579633396,0.9709 ± 0.0269
SVC,pr_auc,0.9795701861519801,0.02275706902528302,0.9796 ± 0.0228
SVC,ef1,1.6849079484905674,0.31216105874006805,1.6849 ± 0.3122
SVC,ef5,1.6849079484905674,0.31216105874006805,1.6849 ± 0.3122
XGBC,accuracy,0.8742921267337284,0.07247959664506101,0.8743 ± 0.0725
XGBC,precision,0.8624897457449426,0.10052726775902564,0.8625 ± 0.1005
XGBC,recall,0.9338821703143312,0.05056904983223111,0.9339 ± 0.0506
XGBC,f1,0.8944283823385722,0.06927911924863243,0.8944 ± 0.0693
XGBC,mcc,0.7191864807939299,0.12656698561665788,0.7192 ± 0.1266
XGBC,roc_auc,0.9537427509715272,0.045238621309544855,0.9537 ± 0.0452
XGBC,pr_auc,0.9642386162402001,0.03991898805555905,0.9642 ± 0.0399
XGBC,ef1,1.6849079484905674,0.31216105874006805,1.6849 ± 0.3122
XGBC,ef5,1.6849079484905674,0.31216105874006805,1.6849 ± 0.3122
ETC,accuracy,0.902529803035921,0.04362374019654349,0.9025 ± 0.0436
ETC,precision,0.9146730462519936,0.0492562242961969,0.9147 ± 0.0493
ETC,recall,0.9124535988857598,0.07498718842684143,0.9125 ± 0.0750
ETC,f1,0.9123191761614411,0.05369478016698373,0.9123 ± 0.0537
ETC,mcc,0.7765854339199502,0.08051869419257564,0.7766 ± 0.0805
ETC,roc_auc,0.9586402284752744,0.039916689709655596,0.9586 ± 0.0399
ETC,pr_auc,0.9675314234842096,0.0331593080028162,0.9675 ± 0.0332
ETC,ef1,1.6849079484905674,0.31216105874006805,1.6849 ± 0.3122
ETC,ef5,1.6849079484905674,0.31216105874006805,1.6849 ± 0.3122
MLP,accuracy,0.9014745500451842,0.03696538637038004,0.9015 ± 0.0370
MLP,precision,0.9000453895190736,0.06552245250398986,0.9000 ± 0.0655
MLP,recall,0.9350985697719366,0.06370505958136573,0.9351 ± 0.0637
MLP,f1,0.9146513369567305,0.04283498204455317,0.9147 ± 0.0428
MLP,mcc,0.7756221825624514,0.062126154810467606,0.7756 ± 0.0621
MLP,roc_auc,0.9734804568886949,0.02636735520963582,0.9735 ± 0.0264
MLP,pr_auc,0.9814905057831613,0.021175417777864386,0.9815 ± 0.0212
MLP,ef1,1.6849079484905674,0.31216105874006805,1.6849 ± 0.3122
MLP,ef5,1.6849079484905674,0.31216105874006805,1.6849 ± 0.3122
